poiid,poiname,poiname_py,poiname_en,adcode,otype,stype,atype,rank,updatetime,update_flag,max_updatetime,address,address_en,x,y
1009912530,如意房产(南通天街),RuYiFangChan(NanTongTianJie),,210103,0X7,0x10,0x0,0.5,,1,,南通天街20号,,123.456511,41.788749
1009919215,航空货运,HangKongHuoYun,,210103,0X7,0x5,0x0,0.5,,1,,热闹路58号,,123.450498,41.788269
1009919221,修鞋店,XiuXieDian,,210103,0X7,0x0,0x0,0.5,,1,,南一经街88号,,123.432268,41.787162
1009915814,辽宁世纪国际旅行社(太清宫街),LiaoNingShiJiGuoJiLvHangShe(TaiQingGongJie),,210103,0X7,0x1,0x0,0.5,,1,,太清宫街6号,,123.447118,41.803829
1009915815,世纪银河房产,ShiJiYinHeFangChan,,210103,0X7,0x10,0x0,0.5,,1,,二纬路21号,,123.428609,41.80272
1009915816,沈阳市好鑫源家政服务公司,ShenYangShiHaoXinYuanJiaZhengFuWuGongSi,,210103,0X7,0x10,0x0,0.5,,1,,北二经街40号,,123.427617,41.796034
1009915820,晨浩房产,ChenHaoFangChan,,210103,0X7,0x10,0x0,0.5,,1,,文化路84号,,123.450726,41.77117
1009915821,百年专业美发护肤,BaiNianZhuanYeMeiFaHuFu,,210103,0X7,0xB,0x0,0.5,,1,,文化路88号,,123.452589,41.77115
1009915824,璐静房产,LuJingFangChan,,210103,0X7,0x10,0x0,0.5,,1,,大南街353号,,123.456978,41.777309
1009915827,中国福利彩票(盛京路),ZhongGuoFuLiCaiPiao,,210103,0X7,0x12,0x0,0.5,,1,,盛京路28号,,123.457819,41.796421
1009927300,弹棉花羊毛被,DanMianHuaYangMaoBei,,210103,0X7,0x0,0x0,0.5,,1,,南关路19号,,123.445708,41.781875
1009927392,雅洁干洗店,YaJieGanXiDian,,210103,0X7,0xF,0x0,0.5,,1,,长青街49号,,123.475676,41.780323
1009916270,安华快运(南翰林路),AnHuaKuaiYun(NanHanLinLu),,210103,0X7,0x5,0x0,0.5,,1,,南翰林路21号,,123.448541,41.783091
1009912011,聚源房产,JuYuanFangChan,,210103,0X7,0x10,0x0,0.5,,1,,南关路2号,,123.444229,41.782839
1009918267,万莲百姓洗衣店,WanLianBaiXingXiYiDian,,210103,0X7,0xF,0x0,0.5,,1,,万泉街84号,,123.475148,41.784471
1009918268,鑫源房产家政,XinYuanFangChanJiaZheng,,210103,0X7,0x10,0x0,0.5,,1,,盛京路9号,,123.454759,41.7963
1009918278,名剪专业烫染(会武街),MingJianZhuanYeTangRan,,210103,0X7,0xB,0x0,0.5,,1,,会武街63号,,123.429303,41.783515
1009918287,爱一庆典,AiYiQingDian,,210103,0X7,0x0,0x0,0.5,,1,,药王庙路34号,,123.440455,41.797227
1009921131,沈阳金桥国际旅行社(光达大厦),ShenYangJinQiaoGuoJiLvHangShe(GuangDaDaSha),,210103,0X7,0x1,0x0,0.5,,1,,北站路77号光达大厦C座1单元12-13层,,123.436827,41.815354
1009914234,名扬美发,MingYangMeiFa,,210103,0X7,0xB,0x0,0.5,,1,,望云寺路44号,,123.442206,41.797884
1009914236,金运之旅沈阳海外国际旅行社五爱街营业部,JinYunZhiLvShenYangHaiWaiGuoJiLvHangSheWuAiJieYingYeBu,,210103,0X7,0x1,0x0,0.5,,1,,热闹路58号,,123.450497,41.788268
1009914662,中国体育彩票(承德路),ZhongGuoTiYuCaiPiao,,210103,0X7,0x12,0x0,0.5,,1,,承德路27号,,123.452195,41.796777
1009914678,王杰修鞋,WangJieXiuXie,,210103,0X7,0x0,0x0,0.5,,1,,南二经街48号,,123.428755,41.788318
1009920910,天天干洗店(北通天街),TianTianGanXiDian(BeiTongTianJie),,210103,0X7,0xF,0x0,0.5,,1,,北通天街8号,,123.456189,41.794767
1009926267,沈阳天顺货站,ShenYangTianShunHuoZhan,,210103,0X7,0x5,0x0,0.5,,1,,翰林路27号,,123.450328,41.783685
1009926692,中华寺万佛塔墓园咨询处,ZhongHuaSiWanFoTaMuYuanZiXunChu,,210103,0X7,0x0,0x0,0.5,,1,,大南街201号,,123.459076,41.784064
1009926043,盛泰快递,ShengTaiKuaiDi,,210103,0X7,0x5,0x0,0.5,,1,,小南街娘娘巷50-52号,,123.456273,41.789149
1009926046,鑫雅居房产中介(东纬路),XinYaJuFangChanZhongJie(DongWeiLu),,210103,0X7,0x10,0x0,0.5,,1,,东纬路17号,,123.427666,41.789899
1009926048,东芝夏普家用电器沈阳售后服务,DongZhiXiaPuJiaYongDianQiShenYangShouHouFuWu,,210103,0X7,0xC,0x0,0.5,,1,,天后宫路27号甲-1,,123.449333,41.810323
1009910614,沈河区正大电脑打字服务部,ShenHeQuZhengDaDianNaoDaZiFuWuBu,,210103,0X7,0x0,0x0,0.5,,1,,北一经街26号,,123.430596,41.79774
1009916144,张健家电钟表维修,ZhangJianJiaDianZhongBiaoWeiXiu,,210103,0X7,0xC,0x0,0.5,,1,,大南街308号,,123.456301,41.778279
1009929710,好主人宠物用品,HaoZhuRenChongWuYongPin,,210103,0X6,0xC,0xB,0.5,,1,,中山路312号,,123.436299,41.799873
1009927708,美妤世家不动产,MeiYuShiJiaBuDongChan,,210103,0X7,0x10,0x0,0.5,,1,,五爱街15号,,123.443251,41.776051
1009912331,辽宁三和实业有限公司,LiaoNingSanHeShiYeYouXianGongSi,,210103,0X7,0x0,0x0,0.5,,1,,热闹路86号,,123.455382,41.788227
1009917844,天缘庆典,TianYuanQingDian,,210103,0X7,0x0,0x0,0.5,,1,,大南街210号,,123.458283,41.782348
1009917848,冠达装饰长青店,GuanDaZhuangShiZhangQingDian,,210103,0X7,0x0,0x0,0.5,,1,,长青街91号,,123.481079,41.775666
1009926347,天天快车北京专线,TianTianKuaiCheBeiJingZhuanXian,,210103,0X7,0x5,0x0,0.5,,1,,翰林路27号,,123.450366,41.783826
1009926348,广立脚手架吊蓝出租,GuangLiJiaoShouJiaDiaoLanChuZu,,210103,0X7,0x0,0x0,0.5,,1,,风雨坛街136号,,123.444327,41.784216
